facilityId,facilityName,state,zipCode,SMD %,SUB-2 %,SUB-3 %,TOB-3 %,Start Date,End Date,MedCont %,READM-30-IPF Measure Desc,READM-30-IPF Category,READM-30-IPF Denominator,READM-30-IPF Rate,READM-30-IPF Lower Estimate,READM-30-IPF Higher Estimate,READM-30-IPF Footnote,READM-30-IPF Start Date,READM-30-IPF End Date,IMM-2 %,Flu Season Start Date,Flu Season End Date
10092,DCH REGIONAL MEDICAL CENTER,AL,35401,91,71,99,83,01/01/2023,12/31/2023,79.3,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,219,16.5,12.9,20.8,,07/01/2021,06/30/2023,85,10/01/2023,03/31/2024
10103,PRINCETON BAPTIST MEDICAL CENTER,AL,35211,99,Not Available,93,89,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,52,19.1,13.7,26.1,,07/01/2021,06/30/2023,99,10/01/2023,03/31/2024
10104,GRANDVIEW MEDICAL CENTER,AL,35243,78,Not Available,Not Available,Not Available,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,79,20.5,15,27.9,,07/01/2021,06/30/2023,86,10/01/2023,03/31/2024
10108,PRATTVILLE BAPTIST HOSPITAL,AL,36067,98,92,97,48,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,75,18.5,13.4,25.3,,07/01/2021,06/30/2023,97,10/01/2023,03/31/2024
10110,BULLOCK COUNTY HOSPITAL,AL,36089,99,0,2,0,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,91,18.8,14,24.3,,07/01/2021,06/30/2023,80,10/01/2023,03/31/2024
10112,WHITFIELD REGIONAL HOSPITAL,AL,36732,97,100,94,96,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,66,18.6,13.3,25.6,,07/01/2021,06/30/2023,93,10/01/2023,03/31/2024
10113,MOBILE INFIRMARY MEDICAL CENTER,AL,36607,100,Not Available,Not Available,Not Available,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,86,19.5,14.6,25.4,,07/01/2021,06/30/2023,95,10/01/2023,03/31/2024
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",AL,35022,79,0,Not Available,Not Available,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,83,20.3,15,27.1,,07/01/2021,06/30/2023,61,10/01/2023,03/31/2024
10125,LAKELAND COMMUNITY HOSPITAL,AL,35565,99,Not Available,Not Available,Not Available,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,90,20.7,15.1,27.8,,07/01/2021,06/30/2023,97,10/01/2023,03/31/2024
10126,TROY REGIONAL MEDICAL CENTER,AL,36081,100,Not Available,Not Available,74,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,51,17,11.8,23.5,,07/01/2021,06/30/2023,100,10/01/2023,03/31/2024
10129,NORTH BALDWIN INFIRMARY,AL,36507,99,17,71,57,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,101,17.5,12.4,23.8,,07/01/2021,06/30/2023,96,10/01/2023,03/31/2024
10139,BROOKWOOD BAPTIST MEDICAL CENTER,AL,35216,80,95,55,53,01/01/2023,12/31/2023,71.8,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,323,21.2,17.7,25,,07/01/2021,06/30/2023,88,10/01/2023,03/31/2024
10150,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,AL,36037,98,Not Available,Not Available,100,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,77,19.8,14.3,27.4,,07/01/2021,06/30/2023,100,10/01/2023,03/31/2024
10157,NORTH ALABAMA SHOALS HOSPITAL,AL,35661,93,27,31,9,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,136,17.5,12.9,23.8,,07/01/2021,06/30/2023,93,10/01/2023,03/31/2024
10164,COOSA VALLEY MEDICAL CENTER,AL,35150,100,Not Available,100,Not Available,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,113,18.5,13.8,25.1,,07/01/2021,06/30/2023,99,10/01/2023,03/31/2024
10175,EAMC - LANIER,AL,36854,86,9,36,46,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,28,20.1,13.9,28.1,,07/01/2021,06/30/2023,68,10/01/2023,03/31/2024
14000,HILL CREST BEHAVIORAL HEALTH SERVICES,AL,35212,93,76,58,31,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,07/01/2021,06/30/2023,55,10/01/2023,03/31/2024
14006,MOUNTAIN VIEW HOSPITAL,AL,35902,29,Not Available,Not Available,Not Available,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,5,07/01/2021,06/30/2023,44,10/01/2023,03/31/2024
14007,BRYCE HOSPITAL,AL,35404,100,Not Available,Not Available,Not Available,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,5,07/01/2021,06/30/2023,Not Available,10/01/2023,03/31/2024
14012,MARY S HARPER GERIATRIC PSYCHIATRY CENTER,AL,35401,86,Not Available,Not Available,Not Available,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,07/01/2021,06/30/2023,Not Available,10/01/2023,03/31/2024
14014,BAYPOINTE BEHAVIORAL HEALTH,AL,36693,13,2,Not Available,0,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,5,07/01/2021,06/30/2023,96,10/01/2023,03/31/2024
14015,BEACON CHILDREN'S HOSPITAL,AL,36049,100,Not Available,Not Available,Not Available,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,5,07/01/2021,06/30/2023,90,10/01/2023,03/31/2024
14016,"SANCTUARY AT THE WOODLANDS, THE",AL,35055,95,Not Available,Not Available,57,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,110,22.4,16.8,29.6,,07/01/2021,06/30/2023,95,10/01/2023,03/31/2024
14017,EASTPOINTE HOSPITAL,AL,36526,56,21,Not Available,0,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,89,17.4,12.7,23.7,,07/01/2021,06/30/2023,17,10/01/2023,03/31/2024
14018,UNITY PSYCHIATRIC CARE - HUNTSVILLE,AL,35806,88,Not Available,Not Available,92,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Worse Than the National Rate,146,28.7,22.4,36.5,,07/01/2021,06/30/2023,94,10/01/2023,03/31/2024
20008,BARTLETT REGIONAL HOSPITAL,AK,99801,89,86,53,25,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,71,20.6,15.2,27,,07/01/2021,06/30/2023,70,10/01/2023,03/31/2024
24001,NORTH STAR HOSPITAL,AK,99508,68,49,85,50,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,07/01/2021,06/30/2023,60,10/01/2023,03/31/2024
24002,ALASKA PSYCHIATRIC INSTITUTE,AK,99508,73,8,0,4,01/01/2023,12/31/2023,64.2,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,140,15.6,11.9,20.3,,07/01/2021,06/30/2023,95,10/01/2023,03/31/2024
30002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,AZ,85006,98,89,98,66,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,55,19.8,14.8,26.3,,07/01/2021,06/30/2023,99,10/01/2023,03/31/2024
30010,ST. MARY'S HOSPITAL,AZ,85745,88,26,60,Not Available,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Worse Than the National Rate,94,24.8,19.6,31.2,,07/01/2021,06/30/2023,83,10/01/2023,03/31/2024
30011,ST JOSEPH'S HOSPITAL,AZ,85711,Not Available,Not Available,Not Available,Not Available,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,5,07/01/2021,06/30/2023,Not Available,10/01/2023,03/31/2024
30022,VALLEYWISE HEALTH MEDICAL CENTER,AZ,85008,100,81,95,99,01/01/2023,12/31/2023,79.7,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Better Than the National Rate,369,13.8,11.1,17,,07/01/2021,06/30/2023,97,10/01/2023,03/31/2024
30023,FLAGSTAFF MEDICAL CENTER,AZ,86001,86,90,85,55,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,38,19.9,14.1,27,,07/01/2021,06/30/2023,90,10/01/2023,03/31/2024
30043,CANYON VISTA MEDICAL CENTER,AZ,85635,99,86,100,71,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,80,20.3,15,26.6,,07/01/2021,06/30/2023,96,10/01/2023,03/31/2024
30062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,85901,90,11,12,23,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,89,18.5,13.4,25,,07/01/2021,06/30/2023,28,10/01/2023,03/31/2024
30089,BANNER THUNDERBIRD MEDICAL CENTER,AZ,85306,94,92,96,76,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,79,18.9,14.2,24.5,,07/01/2021,06/30/2023,100,10/01/2023,03/31/2024
30093,BANNER DEL E. WEBB MEDICAL CENTER,AZ,85375,99,100,98,100,01/01/2023,12/31/2023,87,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,282,17.1,13.6,21.8,,07/01/2021,06/30/2023,100,10/01/2023,03/31/2024
30111,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,AZ,85713,94,Not Available,Not Available,Not Available,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,76,18.1,13.6,23.9,,07/01/2021,06/30/2023,96,10/01/2023,03/31/2024
30114,ORO VALLEY HOSPITAL,AZ,85755,24,29,71,17,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,110,17.8,13.2,23.6,,07/01/2021,06/30/2023,43,10/01/2023,03/31/2024
30121,HONORHEALTH MOUNTAIN VISTA MEDICAL CENTER,AZ,85209,99,Not Available,Not Available,Not Available,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,216,16,12.2,20.7,,07/01/2021,06/30/2023,81,10/01/2023,03/31/2024
34004,BANNER BEHAVIORAL HEALTH HOSPITAL,AZ,85251,98,95,91,78,01/01/2023,12/31/2023,75,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,232,20.1,16.1,24.8,,07/01/2021,06/30/2023,100,10/01/2023,03/31/2024
34013,"ST. LUKE'S BEHAVIORAL HOSPITAL, LP",AZ,85006,91,95,99,99,01/01/2023,12/31/2023,75.8,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,215,18.4,14.8,22.4,,07/01/2021,06/30/2023,63,10/01/2023,03/31/2024
34020,HAVEN BEHAVIORAL HOSPITAL OF PHOENIX,AZ,85007,81,90,55,85,01/01/2023,12/31/2023,86.6,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,161,19.4,15.3,24.3,,07/01/2021,06/30/2023,22,10/01/2023,03/31/2024
34021,ARIZONA STATE HOSPITAL,AZ,85008,Not Available,Not Available,Not Available,Not Available,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,5,07/01/2021,06/30/2023,Not Available,10/01/2023,03/31/2024
34022,SONORA BEHAVIORAL HEALTH HOSPITAL,AZ,85704,57,93,19,80,01/01/2023,12/31/2023,77.7,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,277,20.1,16.8,23.8,,07/01/2021,06/30/2023,69,10/01/2023,03/31/2024
34023,THE GUIDANCE CENTER,AZ,86004,Not Available,Not Available,Not Available,Not Available,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,65,18.5,13.9,24.8,,07/01/2021,06/30/2023,Not Available,10/01/2023,03/31/2024
34024,AURORA BEHAVIORAL HEALTH SYSTEM,AZ,85302,82,94,33,61,01/01/2023,12/31/2023,78,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,146,21.7,17.3,26.8,,07/01/2021,06/30/2023,99,10/01/2023,03/31/2024
34025,THE HEALING PLACE,AZ,86301,63,52,97,77,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,63,19.9,14.8,26.1,,07/01/2021,06/30/2023,81,10/01/2023,03/31/2024
34026,VALLEY HOSPITAL,AZ,85018,100,90,90,100,01/01/2023,12/31/2023,63.1,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,257,21.3,17.5,25.5,,07/01/2021,06/30/2023,91,10/01/2023,03/31/2024
34027,CHANGEPOINT PSYCHIATRIC HOSPITAL,AZ,85929,Not Available,Not Available,Not Available,Not Available,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,07/01/2021,06/30/2023,Not Available,10/01/2023,03/31/2024
34028,AURORA BEHAVIORAL HEALTHCARE-TEMPE,AZ,85283,91,75,36,38,01/01/2023,12/31/2023,71.8,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,131,23.4,18.9,29,,07/01/2021,06/30/2023,76,10/01/2023,03/31/2024
34029,OASIS BEHAVIORAL HEALTH HOSPITAL,AZ,85225,75,100,71,79,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,89,18.8,14.4,24.3,,07/01/2021,06/30/2023,57,10/01/2023,03/31/2024
34030,PALO VERDE BEHAVIORAL HEALTH,AZ,85712,86,63,76,86,01/01/2023,12/31/2023,89.4,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,144,18.7,14.6,23.4,,07/01/2021,06/30/2023,93,10/01/2023,03/31/2024
34031,QUAIL RUN BEHAVIORAL HEALTH,AZ,85027,94,62,39,38,01/01/2023,12/31/2023,82.4,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,234,17.4,13.5,22.4,,07/01/2021,06/30/2023,85,10/01/2023,03/31/2024
34032,COPPER SPRINGS EAST- GILBERT,AZ,85392,81,79,75,57,01/01/2023,12/31/2023,64.1,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Worse Than the National Rate,265,23.8,19.9,28,,07/01/2021,06/30/2023,93,10/01/2023,03/31/2024
34033,EL DORADO SPRINGS,AZ,85712,Not Available,100,0,0,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,103,20.1,15.6,25.8,,07/01/2021,06/30/2023,87,10/01/2023,03/31/2024
34034,DESTINY SPRINGS HEALTHCARE,AZ,85378,37,10,15,0,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,73,20,14.8,26,,07/01/2021,06/30/2023,70,10/01/2023,03/31/2024
34035,AVENIR BEHAVIORAL HEALTH CENTER,AZ,85374,74,85,72,43,01/01/2023,12/31/2023,77.2,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,172,19.9,15.1,25.6,,07/01/2021,06/30/2023,85,10/01/2023,03/31/2024
34038,"PHOENIX MEDICAL PSYCHIATRIC HOSPITAL, LLC",AZ,85006,1,1,13,1,01/01/2023,12/31/2023,74.8,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,194,22,17.7,27.1,,07/01/2021,06/30/2023,5,10/01/2023,03/31/2024
34040,VIA LINDA BEHAVIORAL HOSPITAL,AZ,85258,81,56,70,40,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,37,20,14.4,27.5,,07/01/2021,06/30/2023,33,10/01/2023,03/31/2024
40002,JOHNSON REGIONAL MEDICAL CENTER,AR,72830,97,Not Available,Not Available,98,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,66,23.6,17.4,30.8,,07/01/2021,06/30/2023,99,10/01/2023,03/31/2024
40007,CHI-ST VINCENT INFIRMARY,AR,72205,Not Available,Not Available,Not Available,Not Available,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,5,07/01/2021,06/30/2023,Not Available,10/01/2023,03/31/2024
40011,CHAMBERS MEMORIAL HOSPITAL,AR,72833,57,0,0,Not Available,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,105,23.7,18.1,30.3,,07/01/2021,06/30/2023,6,10/01/2023,03/31/2024
40014,WHITE COUNTY MEDICAL CENTER,AR,72143,93,36,0,82,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,109,20.6,15.5,27.3,,07/01/2021,06/30/2023,91,10/01/2023,03/31/2024
40015,MENA REGIONAL HEALTH SYSTEM,AR,71953,Not Available,Not Available,Not Available,Not Available,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,5,07/01/2021,06/30/2023,Not Available,10/01/2023,03/31/2024
40020,ST BERNARDS MEDICAL CENTER,AR,72401,99,85,100,100,01/01/2023,12/31/2023,79.3,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Worse Than the National Rate,199,24.7,19.9,30.2,,07/01/2021,06/30/2023,100,10/01/2023,03/31/2024
40026,CHI ST. VINCENT HOSPITAL HOT SPRINGS,AR,71903,89,68,35,83,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,154,19.9,15.1,25.4,,07/01/2021,06/30/2023,95,10/01/2023,03/31/2024
40027,BAXTER REGIONAL MEDICAL CENTER,AR,72653,95,20,41,47,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,84,20.5,15.1,27.4,,07/01/2021,06/30/2023,86,10/01/2023,03/31/2024
40029,"CONWAY REGIONAL MEDICAL CENTER, INC",AR,72034,87,92,42,39,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,5,07/01/2021,06/30/2023,80,10/01/2023,03/31/2024
